field_1,y,x,field_1_2,y_2,x_2,id,N,E
"162742","-20.025","-68.875","162742","-20.025","-68.875",28,7785747.3039999995,513073.5959000000
"162743","-20.025","-68.82499999999999","162743","-20.025","-68.82499999999999",29,7785742.6160000004,518303.0450000000
"162744","-20.025","-68.77499999999999","162744","-20.025","-68.77499999999999",30,7785736.3650000002,523532.5048000000
"162745","-20.025","-68.725","162745","-20.025","-68.725",32,7785728.5520000001,528761.9785000000
"162961","-19.974999999999998","-68.925","162961","-19.974999999999998","-68.925",1,7791283.4340000004,507846.6316000000
"162962","-19.974999999999998","-68.875","162962","-19.974999999999998","-68.875",2,7791280.3150000004,513077.7244000000
"162963","-19.974999999999998","-68.82499999999999","162963","-19.974999999999998","-68.82499999999999",3,7791275.6359999999,518308.8250000000
"162964","-19.974999999999998","-68.77499999999999","162964","-19.974999999999998","-68.77499999999999",4,7791269.3990000002,523539.9363000000
"162965","-19.974999999999998","-68.725","162965","-19.974999999999998","-68.725",31,7791261.6009999998,528771.0615000000
"163181","-19.924999999999997","-68.925","163181","-19.924999999999997","-68.925",5,7796816.4069999997,507849.1028000000
"163182","-19.924999999999997","-68.875","163182","-19.924999999999997","-68.875",6,7796813.2939999998,513081.8431000000
"163183","-19.924999999999997","-68.82499999999999","163183","-19.924999999999997","-68.82499999999999",7,7796808.6260000002,518314.5911000000
"163184","-19.924999999999997","-68.77499999999999","163184","-19.924999999999997","-68.77499999999999",8,7796802.4009999996,523547.3500000000
"163185","-19.924999999999997","-68.725","163185","-19.924999999999997","-68.725",9,7796794.6200000001,528780.1226000000
"163186","-19.924999999999997","-68.675","163186","-19.924999999999997","-68.675",27,7796785.2819999997,534012.9123000000
"163187","-19.924999999999997","-68.625","163187","-19.924999999999997","-68.625",26,7796774.3890000004,539245.7219000000
"163401","-19.875","-68.925","163401","-19.875","-68.925",23,7802349.3480000002,507851.5680000000
"163402","-19.875","-68.875","163402","-19.875","-68.875",10,7802346.2419999996,513085.9518000000
"163403","-19.875","-68.82499999999999","163403","-19.875","-68.82499999999999",11,7802341.5839999998,518320.3434000000
"163404","-19.875","-68.77499999999999","163404","-19.875","-68.77499999999999",12,7802335.3720000004,523554.7457000000
"163405","-19.875","-68.725","163405","-19.875","-68.725",13,7802327.6069999998,528789.1620000000
"163406","-19.875","-68.675","163406","-19.875","-68.675",25,7802318.2889999999,534023.5952000000
"163407","-19.875","-68.625","163407","-19.875","-68.625",24,7802307.4179999996,539258.0485000000
"163621","-19.825","-68.925","163621","-19.825","-68.925",22,7807882.2589999996,507854.0273000000
"163622","-19.825","-68.875","163622","-19.825","-68.875",14,7807879.1600000001,513090.0506000000
"163623","-19.825","-68.82499999999999","163623","-19.825","-68.82499999999999",15,7807874.5109999999,518326.0817000000
"163624","-19.825","-68.77499999999999","163624","-19.825","-68.77499999999999",16,7807868.3119999999,523562.1236000000
"163625","-19.825","-68.725","163625","-19.825","-68.725",17,7807860.5630000001,528798.1795000000
"163841","-19.775","-68.925","163841","-19.775","-68.925",21,7813415.1390000004,507856.4806000000
"163842","-19.775","-68.875","163842","-19.775","-68.875",20,7813412.0460000001,513094.1395000000
"163843","-19.775","-68.82499999999999","163843","-19.775","-68.82499999999999",18,7813407.4069999997,518331.8062000000
"163844","-19.775","-68.77499999999999","163844","-19.775","-68.77499999999999",19,7813401.2209999999,523569.4837000000
"163845","-19.775","-68.725","163845","-19.775","-68.725",33,7813393.4890000001,528807.1751000000
